iter	Passed	Remaining
0	336	201719
1	639	191317
2	914	182006
3	1191	177564
4	1502	178839
5	1778	176072
6	2030	172040
7	2297	169982
8	2563	168323
9	2837	167404
10	3122	167214
11	3387	166009
12	3650	164814
13	3918	164003
14	4181	163071
15	4448	162365
16	4719	161863
17	4981	161054
18	5256	160744
19	5534	160497
20	5799	159894
21	6085	159877
22	6363	159628
23	6661	159880
24	6976	160469
25	7245	159957
26	7536	159947
27	7756	158460
28	8004	157605
29	8289	157500
30	8582	157525
31	8864	157350
32	9148	157184
33	9417	156771
34	9706	156692
35	9991	156527
36	10268	156241
37	10547	155985
38	10827	155750
39	11075	155060
40	11349	154742
41	11626	154470
42	11922	154441
43	12157	153620
44	12455	153620
45	12773	153832
46	13066	153735
47	13348	153510
48	13645	153444
49	13941	153352
50	14220	153082
51	14493	152742
52	14772	152462
53	15062	152301
54	15300	151618
55	15573	151282
56	15854	151033
57	16127	150705
58	16404	150418
59	16698	150283
60	16983	150069
61	17264	149811
62	17549	149587
63	17840	149412
64	18144	149346
65	18437	149174
66	18715	148887
67	18998	148634
68	19284	148405
69	19567	148151
70	19854	147927
71	20148	147752
72	20415	147386
73	20695	147108
74	20977	146841
75	21263	146609
76	21548	146360
77	21817	146011
78	22105	145782
79	22384	145499
80	22676	145294
81	22957	145025
82	23235	144729
83	23530	144547
84	23813	144280
85	24111	144110
86	24405	143905
87	24686	143629
88	24987	143469
89	25270	143202
90	25563	142988
91	25799	142455
92	26076	142160
93	26357	141881
94	26619	141504
95	26911	141285
96	27184	140968
97	27457	140648
98	27729	140328
99	28023	140116
100	28319	139915
101	28596	139616
102	28885	139381
103	29168	139112
104	29459	138882
105	29750	138648
106	30035	138390
107	30313	138095
108	30595	137820
109	30891	137608
110	31175	137341
111	31448	137026
112	31728	136742
113	32022	136518
114	32297	136210
115	32586	135964
116	32867	135685
117	33292	135992
118	33636	135958
119	33929	135719
120	34296	135769
121	34635	135703
122	34963	135590
123	35240	135276
124	35527	135006
125	35803	134687
126	36099	134447
127	36300	133859
128	36587	133587
129	36866	133286
130	37165	133056
131	37461	132817
132	37713	132421
133	37947	131968
134	38232	131688
135	38511	131393
136	38794	131107
137	39067	130789
138	39340	130475
139	39612	130154
140	39888	129848
141	40172	129569
142	40465	129319
143	40763	129085
144	41035	128765
145	41325	128504
146	41612	128234
147	41905	127981
148	42185	127688
149	42462	127388
150	42759	127144
151	43042	126862
152	43319	126560
153	43601	126275
154	43880	125979
155	44150	125660
156	44436	125384
157	44730	125132
158	45015	124854
159	45292	124553
160	45570	124256
161	45847	123959
162	46128	123669
163	46417	123403
164	46700	123118
165	46985	122840
166	47258	122532
167	47550	122273
168	47848	122027
169	48134	121750
170	48416	121466
171	48701	121186
172	48910	120721
173	49188	120427
174	49474	120153
175	49761	119879
176	50060	119636
177	50340	119346
178	50617	119049
179	50893	118751
180	51181	118480
181	51446	118156
182	51731	117880
183	52016	117602
184	52273	117261
185	52564	116998
186	52853	116730
187	53138	116451
188	53434	116197
189	53722	115927
190	54005	115645
191	54296	115380
192	54579	115098
193	54845	114780
194	55124	114489
195	55408	114209
196	55705	113956
197	55976	113648
198	56237	113322
199	56534	113068
200	56817	112787
201	57114	112533
202	57420	112295
203	57696	111998
204	57961	111682
205	58237	111385
206	58513	111090
207	58808	110831
208	59100	110566
209	59383	110283
210	59641	109954
211	59938	109698
212	60203	109383
213	60475	109081
214	60769	108820
215	61063	108556
216	61340	108264
217	61635	108004
218	61924	107732
219	62215	107463
220	62504	107190
221	62741	106830
222	63003	106511
223	63279	106219
224	63565	105942
225	63847	105658
226	64110	105344
227	64395	105066
228	64674	104778
229	64974	104523
230	65248	104228
231	65529	103943
232	65817	103668
233	66076	103350
234	66342	103042
235	66636	102778
236	66931	102515
237	67232	102261
238	67550	102032
239	67832	101748
240	68096	101438
241	68351	101114
242	68601	100784
243	68834	100431
244	69118	100151
245	69359	99810
246	69642	99529
247	69938	99267
248	70192	98945
249	70439	98615
250	70724	98337
251	70950	97979
252	71230	97695
253	71506	97407
254	71797	97137
255	72062	96834
256	72328	96532
257	72598	96235
258	72882	95957
259	73131	95633
260	73377	95306
261	73614	94967
262	73902	94696
263	74170	94399
264	74455	94122
265	74735	93841
266	75017	93560
267	75296	93277
268	75581	93001
269	75851	92707
270	76152	92450
271	76404	92135
272	76697	91868
273	76961	91567
274	77252	91298
275	77583	91076
276	77834	90759
277	78090	90449
278	78271	90054
279	78594	89822
280	78949	89625
281	79259	89377
282	79466	89014
283	79711	88693
284	79931	88345
285	80194	88045
286	80460	87749
287	80741	87470
288	81005	87172
289	81273	86879
290	81459	86498
291	81725	86203
292	82033	85953
293	82311	85671
294	82611	85412
295	82874	85114
296	83200	84881
297	83440	84560
298	83692	84252
299	83998	83998
300	84277	83717
301	84488	83369
302	84791	83112
303	85024	82786
304	85259	82463
305	85406	82057
306	85666	81760
307	85924	81461
308	86195	81174
309	86476	80897
310	86833	80691
311	87118	80416
312	87465	80199
313	87781	79953
314	87994	79614
315	88331	79386
316	88671	79161
317	88920	78854
318	89283	78647
319	89558	78363
320	89805	78055
321	90088	77777
322	90322	77458
323	90583	77163
324	90950	76958
325	91233	76681
326	91609	76481
327	91892	76203
328	92190	75938
329	92499	75681
330	92815	75430
331	93075	75133
332	93350	74848
333	93661	74592
334	93968	74333
335	94243	74048
336	94593	73822
337	94829	73507
338	95203	73298
339	95498	73028
340	95740	72717
341	96047	72456
342	96285	72143
343	96570	71866
344	96859	71592
345	97119	71295
346	97466	71063
347	97777	70804
348	98074	70534
349	98450	70321
350	98717	70030
351	98965	69725
352	99185	69401
353	99515	69155
354	99750	68842
355	99994	68535
356	100245	68234
357	100530	67956
358	100893	67731
359	101192	67461
360	101489	67190
361	101843	66957
362	102205	66728
363	102441	66418
364	102696	66119
365	102981	65840
366	103288	65575
367	103615	65322
368	103932	65063
369	104191	64767
370	104414	64449
371	104687	64163
372	104928	63857
373	105190	63564
374	105470	63282
375	105756	63003
376	106052	62731
377	106407	62493
378	106742	62242
379	107054	61978
380	107369	61716
381	107667	61444
382	107917	61144
383	108268	60901
384	108625	60660
385	108951	60403
386	109248	60129
387	109472	59814
388	109793	59554
389	110033	59248
390	110224	58918
391	110588	58679
392	110910	58418
393	111142	58109
394	111443	57837
395	111690	57537
396	111931	57234
397	112184	56937
398	112426	56635
399	112711	56355
400	113008	56081
401	113276	55792
402	113526	55495
403	113762	55191
404	114033	54904
405	114352	54641
406	114674	54378
407	114940	54089
408	115180	53788
409	115564	53554
410	115819	53259
411	116131	52992
412	116460	52731
413	116791	52471
414	117101	52201
415	117382	51919
416	117688	51647
417	117980	51369
418	118270	51090
419	118543	50804
420	118777	50501
421	119118	50244
422	119432	49975
423	119675	49676
424	119969	49399
425	120271	49125
426	120512	48826
427	120802	48546
428	121019	48238
429	121389	47991
430	121662	47705
431	121968	47432
432	122211	47134
433	122520	46862
434	122856	46600
435	123159	46326
436	123512	46069
437	123767	45776
438	124098	45512
439	124410	45240
440	124770	44985
441	125112	44723
442	125387	44437
443	125710	44168
444	126007	43890
445	126257	43595
446	126590	43329
